category,job_type,job_offer_id
retail jobs,"Permanent, full-time",582
factory jobs,"Permanent, full-time",583
law jobs,"Permanent, full-time",584
law jobs,"Permanent, full-time",585
hr jobs,"Permanent, full-time",586
retail jobs,"Permanent, part-time",587
motoring automotive jobs,"Permanent, full-time",588
catering jobs,"Temporary, full-time",589
retail jobs,"Permanent, full-time",590
marketing jobs,"Permanent, full-time",591
law jobs,"Permanent, full-time",592
motoring automotive jobs,"Permanent, full-time",593
law jobs,"Permanent, part-time",594
retail jobs,"Permanent, part-time",595
motoring automotive jobs,"Permanent, full-time",596
marketing jobs,"Permanent, full-time",597
marketing jobs,"Permanent, full-time",598
hr jobs,"Permanent, full-time",599
factory jobs,"Permanent, full-time",600
law jobs,"Permanent, full-time",601
catering jobs,"Permanent, full-time",602
law jobs,"Permanent, full-time",603
law jobs,"Permanent, full-time",604
retail jobs,"Permanent, full-time",605
law jobs,"Permanent, full-time",606
factory jobs,"Contract, full-time",607
motoring automotive jobs,"Permanent, full-time",608
motoring automotive jobs,"Permanent, full-time",609
factory jobs,"Contract, full-time",610
catering jobs,"Permanent, full-time",611
law jobs,"Permanent, full-time",612
marketing jobs,"Permanent, full-time",613
factory jobs,"Permanent, full-time",614
motoring automotive jobs,"Permanent, full-time",615
factory jobs,"Temporary, full-time",616
factory jobs,"Temporary, full-time",617
law jobs,"Permanent, full-time",618
retail jobs,"Permanent, full-time",619
factory jobs,"Permanent, full-time",620
law jobs,"Permanent, full-time",621
estate agent jobs,"Permanent, full-time",622
law jobs,"Permanent, full-time",623
law jobs,"Permanent, full-time",624
motoring automotive jobs,"Permanent, full-time",625
law jobs,"Permanent, full-time",626
law jobs,"Contract, full-time",627
motoring automotive jobs,"Permanent, full-time",628
law jobs,"Permanent, part-time",629
factory jobs,"Permanent, full-time",630
catering jobs,"Permanent, full-time",631
motoring automotive jobs,"Permanent, full-time",632
retail jobs,"Permanent, full-time",633
retail jobs,"Permanent, full-time",634
motoring automotive jobs,"Permanent, full-time",635
catering jobs,"Permanent, full-time",636
catering jobs,"Permanent, full-time",637
retail jobs,"Permanent, part-time",638
factory jobs,"Permanent, full-time",639
motoring automotive jobs,"Permanent, full-time",640
motoring automotive jobs,"Permanent, full-time",641
catering jobs,"Contract, part-time",642
motoring automotive jobs,"Permanent, full-time",643
motoring automotive jobs,"Permanent, full-time",644
retail jobs,"Permanent, full-time",645
